j

DATE:	02/11/2017	TIME:	15:46:29
Initialising game took 20.24 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	36.00		DOWN  to GRASS   and ALIVE     13.33%			27.77		36.01		
	36.85		UP    to SLIME   and ALIVE     13.33%			27.11		36.89		THAT'S SLIME!
	69.97		LEFT  to GRASS   and ALIVE     10.00%			14.29		69.99		
	28.02		RIGHT to SLIME   and ALIVE     10.00%			35.62		28.07		THAT'S SLIME!
	21.87		RIGHT to SLIME   and ALIVE     10.00%			45.67		21.90		THAT'S SLIME!
	17.91		RIGHT to SLIME   and ALIVE     10.00%			55.77		17.93		THAT'S SLIME!
	14.89		RIGHT to SLIME   and ALIVE     10.00%			67.10		14.90		THAT'S SLIME!
	56.71		LEFT  to GRASS   and ALIVE     6.67%			17.63		56.73		
	27.07		RIGHT to SLIME   and ALIVE     6.67%			36.90		27.10		THAT'S SLIME!
	20.67		RIGHT to SLIME   and ALIVE     6.67%			48.29		20.71		THAT'S SLIME!
	20.03		RIGHT to SLIME   and ALIVE     6.67%			49.86		20.06		THAT'S SLIME!
	54.51		LEFT  to GRASS   and ALIVE     3.33%			18.34		54.53		
	33.35		RIGHT to DEATH   and LOST GAME -0.00%			29.93		33.42		EXHAUSTED! TIME TO DIE...

DATE:	02/11/2017	TIME:	15:46:41
Initialising game took 32.22 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	17.78		UP    to GRASS   and ALIVE     96.67%			56.21		17.79		READY TO SLITHER!? PRESS A KEY...
	16.00		RIGHT to GRASS   and ALIVE     93.33%			62.47		16.01		
	16.23		UP    to GRASS   and ALIVE     90.00%			61.60		16.23		
	55.48		DOWN  to SLIME   and ALIVE     90.00%			17.97		55.64		THAT'S SLIME!
	23.63		UP    to GRASS   and ALIVE     86.67%			42.27		23.66		
	20.27		RIGHT to GRASS   and ALIVE     83.33%			49.31		20.28		
	39.14		RIGHT to PELLET  and ALIVE     72.00%			25.39		39.39		PELLET ALERT!
	20.94		LEFT  to SLIME   and ALIVE     72.00%			47.47		21.06		THAT'S SLIME!
	20.44		DOWN  to GRASS   and ALIVE     68.67%			48.91		20.45		
	21.19		LEFT  to GRASS   and ALIVE     65.33%			47.18		21.19		
	51.61		DOWN  to GRASS   and ALIVE     62.00%			19.37		51.63		
	25.14		UP    to SLIME   and ALIVE     62.00%			39.70		25.19		THAT'S SLIME!
	36.22		RIGHT to GRASS   and ALIVE     58.67%			27.59		36.24		
	24.23		DOWN  to GRASS   and ALIVE     55.33%			41.24		24.25		
	58.14		DOWN  to GRASS   and ALIVE     52.00%			17.19		58.16		
	58.40		LEFT  to GRASS   and ALIVE     48.67%			17.12		58.42		
	75.14		DOWN  to GRASS   and ALIVE     45.33%			13.30		75.16		
	48.71		UP    to SLIME   and ALIVE     45.33%			20.51		48.76		THAT'S SLIME!
	56.24		RIGHT to GRASS   and ALIVE     42.00%			17.77		56.27		
	24.61		LEFT  to SLIME   and ALIVE     42.00%			40.58		24.64		THAT'S SLIME!
	14.98		DOWN  to WALL    and ALIVE     42.00%			66.66		15.00		THAT'S A WALL!
	56.03		UP    to SLIME   and ALIVE     42.00%			17.77		56.28		THAT'S SLIME!
	34.79		DOWN  to WALL    and ALIVE     42.00%			28.68		34.87		THAT'S A WALL!
	27.09		LEFT  to SLIME   and ALIVE     42.00%			36.87		27.12		THAT'S SLIME!
	23.76		RIGHT to GRASS   and LOST GAME 38.67%			42.00		23.81		FROG GOT YOU!

DATE:	02/11/2017	TIME:	15:46:45
Initialising game took 22.52 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	26.83		LEFT  to GRASS   and ALIVE     96.67%			37.25		26.84		READY TO SLITHER!? PRESS A KEY...
	24.16		RIGHT to SLIME   and ALIVE     96.67%			41.34		24.19		THAT'S SLIME!
	23.00		DOWN  to GRASS   and ALIVE     93.33%			43.47		23.01		
	14.27		UP    to SLIME   and ALIVE     93.33%			69.97		14.29		THAT'S SLIME!
	14.00		LEFT  to GRASS   and ALIVE     90.00%			71.42		14.00		
	14.02		UP    to GRASS   and ALIVE     86.67%			71.32		14.02		
	15.03		DOWN  to SLIME   and ALIVE     86.67%			66.45		15.05		THAT'S SLIME!
	21.28		RIGHT to SLIME   and ALIVE     86.67%			46.95		21.30		THAT'S SLIME!
	14.24		UP    to GRASS   and ALIVE     83.33%			70.18		14.25		
	14.36		RIGHT to GRASS   and ALIVE     80.00%			69.61		14.37		
	14.09		UP    to GRASS   and ALIVE     76.67%			70.95		14.10		
	14.27		DOWN  to SLIME   and ALIVE     76.67%			69.98		14.29		THAT'S SLIME!
	27.99		LEFT  to GRASS   and ALIVE     73.33%			35.72		28.00		
	32.44		RIGHT to SLIME   and ALIVE     73.33%			30.79		32.48		THAT'S SLIME!
	25.89		DOWN  to SLIME   and ALIVE     73.33%			38.58		25.92		THAT'S SLIME!
	26.57		UP    to GRASS   and LOST GAME 70.00%			37.57		26.61		FROG GOT YOU!

DATE:	02/11/2017	TIME:	15:46:46
Initialising game took 13.68 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	14.90		DOWN  to GRASS   and ALIVE     96.67%			67.10		14.90		READY TO SLITHER!? PRESS A KEY...
	14.10		RIGHT to GRASS   and ALIVE     93.33%			70.91		14.10		
	15.10		DOWN  to GRASS   and ALIVE     90.00%			66.22		15.10		
	16.31		UP    to SLIME   and ALIVE     90.00%			61.25		16.33		THAT'S SLIME!
	14.42		RIGHT to GRASS   and ALIVE     86.67%			69.34		14.42		
	16.33		UP    to GRASS   and ALIVE     83.33%			61.22		16.34		
	14.44		DOWN  to SLIME   and ALIVE     83.33%			69.15		14.46		THAT'S SLIME!
	14.48		LEFT  to SLIME   and ALIVE     83.33%			68.99		14.49		THAT'S SLIME!
	14.81		DOWN  to SLIME   and ALIVE     83.33%			67.45		14.83		THAT'S SLIME!
	38.82		RIGHT to DEATH   and LOST GAME 80.00%			25.50		39.21		OH NO! A FROG!

DATE:	02/11/2017	TIME:	15:46:48
Initialising game took 18.53 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	19.98		DOWN  to GRASS   and FROG GONE 96.67%			49.98		20.01		EAGLE GOT A FROG
	22.35		RIGHT to GRASS   and ALIVE     93.33%			44.74		22.35		
	19.36		UP    to GRASS   and ALIVE     90.00%			51.64		19.36		
	15.16		DOWN  to SLIME   and ALIVE     90.00%			65.89		15.18		THAT'S SLIME!
	14.55		LEFT  to SLIME   and ALIVE     90.00%			68.56		14.59		THAT'S SLIME!
	14.16		RIGHT to GRASS   and ALIVE     86.67%			70.60		14.16		
	14.21		UP    to GRASS   and ALIVE     83.33%			70.36		14.21		
	14.34		DOWN  to SLIME   and ALIVE     83.33%			69.63		14.36		THAT'S SLIME!
	14.40		LEFT  to GRASS   and FROG GONE 80.00%			69.34		14.42		EAGLE GOT A FROG
	14.40		RIGHT to SLIME   and ALIVE     80.00%			69.34		14.42		THAT'S SLIME!
	14.69		DOWN  to SLIME   and ALIVE     80.00%			68.00		14.71		THAT'S SLIME!
	14.35		RIGHT to SLIME   and ALIVE     80.00%			69.61		14.37		THAT'S SLIME!
	14.28		UP    to GRASS   and ALIVE     76.67%			70.03		14.28		
	15.32		RIGHT to GRASS   and ALIVE     73.33%			65.24		15.33		
	19.19		UP    to GRASS   and ALIVE     70.00%			52.10		19.20		
	26.91		DOWN  to SLIME   and ALIVE     70.00%			37.08		26.97		THAT'S SLIME!
	14.31		LEFT  to GRASS   and ALIVE     66.67%			69.85		14.32		
	14.38		DOWN  to SLIME   and ALIVE     66.67%			69.48		14.39		THAT'S SLIME!
	14.67		LEFT  to PELLET  and ALIVE     57.00%			68.09		14.69		PELLET ALERT!
	14.15		DOWN  to GRASS   and ALIVE     53.67%			70.67		14.15		
	14.23		UP    to SLIME   and ALIVE     53.67%			70.21		14.24		THAT'S SLIME!
	16.12		DOWN  to GRASS   and ALIVE     50.33%			62.00		16.13		
	17.93		UP    to SLIME   and ALIVE     50.33%			55.70		17.95		THAT'S SLIME!
	18.41		DOWN  to GRASS   and ALIVE     47.00%			54.31		18.41		
	14.34		UP    to SLIME   and ALIVE     47.00%			69.66		14.36		THAT'S SLIME!
	14.38		DOWN  to GRASS   and ALIVE     43.67%			69.54		14.38		
	14.19		DOWN  to GRASS   and ALIVE     40.33%			70.44		14.20		
	14.19		DOWN  to GRASS   and ALIVE     37.00%			70.47		14.19		
	14.20		DOWN  to GRASS   and ALIVE     33.67%			70.39		14.21		
	14.19		DOWN  to GRASS   and ALIVE     30.33%			70.43		14.20		
	21.08		UP    to SLIME   and ALIVE     30.33%			47.27		21.16		THAT'S SLIME!
	14.31		RIGHT to GRASS   and ALIVE     27.00%			69.88		14.31		
	14.46		DOWN  to WALL    and ALIVE     27.00%			69.08		14.48		THAT'S A WALL!
	14.31		UP    to GRASS   and ALIVE     23.67%			69.86		14.31		
	14.26		RIGHT to GRASS   and ALIVE     20.33%			70.11		14.26		
	14.26		RIGHT to GRASS   and ALIVE     17.00%			70.09		14.27		
	29.16		UP    to GRASS   and ALIVE     13.67%			34.28		29.17		
	35.31		RIGHT to GRASS   and ALIVE     10.33%			28.31		35.33		
	16.93		UP    to GRASS   and ALIVE     7.00%			59.02		16.94		
	39.75		DOWN  to SLIME   and ALIVE     7.00%			25.04		39.94		THAT'S SLIME!
	36.92		UP    to GRASS   and ALIVE     3.67%			27.07		36.94		
	51.20		DOWN  to SLIME   and ALIVE     3.67%			19.44		51.44		THAT'S SLIME!
	21.15		UP    to GRASS   and ALIVE     0.33%			47.26		21.16		
	20.28		DOWN  to DEATH   and LOST GAME -3.00%			49.20		20.32		EXHAUSTED! TIME TO DIE...

DATE:	02/11/2017	TIME:	15:46:53
Initialising game took 17.11 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	15.56		UP    to GRASS   and ALIVE     96.67%			64.25		15.56		READY TO SLITHER!? PRESS A KEY...
	14.34		DOWN  to SLIME   and ALIVE     96.67%			69.67		14.35		THAT'S SLIME!
	14.21		RIGHT to GRASS   and ALIVE     93.33%			70.37		14.21		
	14.17		UP    to GRASS   and ALIVE     90.00%			70.56		14.17		
	24.02		DOWN  to SLIME   and ALIVE     90.00%			41.51		24.09		THAT'S SLIME!
